region,province,city,barangay,precinct,position,candidate,votes,percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"LACSON, KUYA ALEX (KP)",132,2.11 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"LANGIT, REY (PDPLBN)",9,0.14 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"LEGARDA, LOREN (NPC)",311,4.98 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"LIM, ARIEL (IND)",10,0.16 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"MALLILLIN, EMILY (PPM)",3,0.04 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"MARCOLETA, RODANTE (PDPLBN)",45,0.72 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"MARCOS, FRANCIS LEO (IND)",69,1.10 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"MATULA, SONNY (IND)",72,1.15 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"MINDALANO-ADAM,MARIETA(KTPNAN)",5,0.08 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"OLARTE, ATTY/DR. LEO (BIGKIS)",14,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"PADILLA, DRA. MINGUITA (PDR)",51,0.81 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"PADILLA, ROBIN (PDPLBN)",240,3.84 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"PANELO, SAL PANALO (PDPLBN)",66,1.05 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"PIMENTEL, ASTRA (PDPLBN)",50,0.80 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"PIÑOL, MANNY (NPC)",56,0.89 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"RICABLANCA, WILLIE JR. (PM)",3,0.04 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"ROQUE, HARRY SPOX (PRP)",102,1.63 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"SAHIDULLA, LADY ANNE (PDDS)",4,0.06 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"SISON, JOPET (AKSYON)",33,0.52 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"TEODORO, GIBO (PRP)",222,3.55 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"TRILLANES, ANTONIO IV (LP)",175,2.80 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"TULFO, IDOL RAFFY (IND)",333,5.33 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"VALEROS, REY (IND)",1,0.01 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"VILLANUEVA,JOEL TESDAMAN (IND)",206,3.30 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"VILLAR, MARK (NP)",223,3.57 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"ZUBIAGA, CARMEN (IND)",27,0.43 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"ZUBIRI, MIGZ (IND)",317,5.08 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,Candidate,Votes,Percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,01 KAMALAYAN,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,02 KM NGAYON NA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,03 PSIS,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,04 AGAP,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,05 KABAYAN,3,0.63 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,06 HOME OWNER,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,07 KAPUSO-PM,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,08 PDP CARES,2,0.42 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,09 MARVELOUS TAYO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,10 AKO OFW,3,0.63 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,11 UNITED SENIOR CITIZEN,3,0.63 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,12 WOW PILIPINAS,1,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,13 ALTERNATIBA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,14 1-RIDER PARTYLIST,7,1.48 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,15 1-CARE,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,PARTYLIST,16 ABP,1,0.21 %
